Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Nam,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufactur,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
1719261-7,1 pos fakra ii plug hsg codg free,ZFRT,,AEO,Z120,83769799,,W767,PH10,,C,C,X,0943,,,41396,,ADN,101,IN,C,,,,,AUT SHIRWAL TESOG,,P08,,2,,1719261-7,PC,"9,600",0,0,521.18,0,0.00,0,0.000,0.000,05/17/2025,07/24/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,82806586,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,"2,400",0,0,895.18,0,0.00,0,0.000,0.000,05/02/2025,07/11/2025,
2378368-2,cable harness lv,ZFRT,,ADO,Z120,83762952,,M248,PH10,,A,C,N,0943,,,43058,,AEO,101,IN,C,,,,,AUT SHIRWAL TESOG,,895,,7,,2378368-2,PC,440,0,0,4017.21,"15,000",3.00,0,0.000,0.000,05/14/2025,05/21/2025,
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,83248625,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,920,0,0,934.93,0,0.00,0,0.000,0.000,05/08/2025,06/05/2025,
1-2236519-1,"spacer, female housing, 80 way",ZHLB,,AL2,Z130,86977348,,M638,PH10,,A,C,N,0943,,,43069,,AL2,101,HU,E,,,,,AUT SHIRWAL TESOG,,NAC,,,,1-2236519-1,PC,"1,008",0,0,161.91,0,0.00,0,0.000,0.000,07/07/2025,07/10/2025,
1241634-1,4pos mqs rec cod z,ZFRT,,AND,Z100,88455138,,M133,PH10,,B,C,X,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,1241634-1,PC,"120,000",0,0,1772.9,0,0.00,0,0.000,0.000,07/30/2025,08/01/2025,
2-968217-5,4pos mqs tab cod b,ZFRT,,AND,Z120,86592621,,M133,PH10,,C,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,1,,2-968217-5,PC,"24,000",0,0,813.81,0,0.00,0,0.000,0.000,07/08/2025,07/09/2025,
1-2282183-1,"cover,mqs",ZHLB,,AND,Z130,87420939,,M133,PH10,,B,C,N,0943,,,43169,,AND,101,CZ,B,,,,,AUT KURIM TESOG,,N02,,,,1-2282183-1,PC,"64,000",0,0,2172.35,0,0.00,0,0.000,0.000,07/19/2025,07/20/2025,
2317939-1,"10pos,econoseal,rec hsg assy,sld,cod 1",ZFRT,,ADO,Z200,83740116,,M099,PH10,,B,C,N,0943,,,43098,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N34,,1,,2317939-1,PC,800,0,0,298.39,0,0.00,0,0.000,0.000,05/14/2025,07/28/2025,
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,82906336,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,230,0,0,233.73,0,0.00,0,0.000,0.000,05/03/2025,06/05/2025,
1719040-1,8pos get male connector w. 3 sb's,ZFRT,,AEO,Z130,84198252,,M634,PH08,,A,C,X,0943,,,43071,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,NAA,,2,,1719040-1,PC,0,0,0,315.5,0,0.00,0,432.000,0.000,05/19/2025,07/24/2025,
2141466-1,"4pos,nanomqs,sock hsg,assy,sealed,coda",ZFRT,,ADO,Z100,83006186,,M120,PH10,,A,C,N,0943,,,43155,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,N54,,1,,2141466-1,PC,"3,000",0,0,741.67,0,0.00,0,0.000,0.000,05/05/2025,07/11/2025,
1-1718628-1,"amp mcp 2.8 hsg. 4pos.,ass'y",ZFRT,,AEO,Z100,82892997,,M105,PH10,,B,C,X,0943,,,43104,,ADN,101,IN,A,,,,,AUT SHIRWAL TESOG,,N10,,2,,1-1718628-1,PC,"7,700",0,0,1573.23,0,0.00,0,0.000,0.000,05/03/2025,07/16/2025,
1417688-2,immobilizer antenna mm iveco heavy truck,ZFRT,,AEO,Z200,83422964,,E951,PH10,,C,C,X,0943,,,43061,,AEO,101,IN,B,,,,,AUT SHIRWAL TESOG,,K27,,7,,1417688-2,PC,460,0,0,467.46,0,0.00,0,0.000,0.000,05/10/2025,06/05/2025,
2327326-1,usb cable assy,ZFRT,,AEO,Z200,27107618,,L495,PH10,,C,C,N,0943,,,41394,,ADN,101,IN,B,,,,,AUT SHIRWAL TESOG,,P14,,9,,2327326-1,PC,67,0,0,489.32,0,0.00,0,0.000,0.000,07/30/2020,03/12/2021,09/30/2030
